bin_id,id,name,assignment_method,distance_to_polygon_m
1,16.0,innenstadt,within,0.0
2,7.0,seequartiere,within,0.0
3,8.0,boezingenfeld,nearest,117.702
4,8.0,boezingenfeld,nearest,0.115
5,8.0,boezingenfeld,within,0.0
6,7.0,seequartiere,within,0.0
7,7.0,seequartiere,within,0.0
8,15.0,innenstadtWest,within,0.0
9,15.0,innenstadtWest,within,0.0
10,15.0,innenstadtWest,within,0.0
11,16.0,innenstadt,within,0.0
12,16.0,innenstadt,within,0.0
13,11.0,muehlefeld,within,0.0
14,12.0,madretsch,within,0.0
15,12.0,madretsch,within,0.0
16,12.0,madretsch,within,0.0
17,2.0,vingelz,within,0.0
18,2.0,vingelz,within,0.0
19,5.0,beaumont,within,0.0
20,15.0,innenstadtWest,within,0.0
21,15.0,innenstadtWest,within,0.0
22,15.0,innenstadtWest,within,0.0
23,15.0,innenstadtWest,within,0.0
24,1.0,innenstadtost,within,0.0
25,1.0,innenstadtost,within,0.0
26,11.0,muehlefeld,within,0.0
27,11.0,muehlefeld,within,0.0
28,9.0,moesli,within,0.0
29,9.0,moesli,within,0.0
30,9.0,moesli,nearest,1.301
31,9.0,moesli,within,0.0
32,9.0,moesli,within,0.0
33,9.0,moesli,within,0.0
34,13.0,linde,within,0.0
35,13.0,linde,nearest,1.351
36,13.0,linde,within,0.0
37,17.0,innenstadtNord,within,0.0
38,13.0,linde,within,0.0
39,6.0,mettSud,nearest,0.4
40,3.0,gurzelen,within,0.0
41,3.0,gurzelen,within,0.0
42,11.0,muehlefeld,within,0.0
43,9.0,moesli,within,0.0
44,13.0,linde,within,0.0
45,11.0,muehlefeld,within,0.0
46,16.0,innenstadt,within,0.0
47,16.0,innenstadt,within,0.0
48,16.0,innenstadt,within,0.0
49,3.0,gurzelen,within,0.0
50,1.0,innenstadtost,within,0.0
51,15.0,innenstadtWest,within,0.0
52,15.0,innenstadtWest,within,0.0
53,2.0,vingelz,within,0.0
54,16.0,innenstadt,within,0.0
55,2.0,vingelz,nearest,2.82
56,2.0,vingelz,nearest,2.16
57,6.0,mettSud,within,0.0
58,3.0,gurzelen,within,0.0
59,5.0,beaumont,within,0.0
60,10.0,altstadt,within,0.0
61,3.0,gurzelen,within,0.0
62,17.0,innenstadtNord,within,0.0
63,5.0,beaumont,within,0.0
64,5.0,beaumont,within,0.0
65,3.0,gurzelen,within,0.0
66,5.0,beaumont,within,0.0
67,3.0,gurzelen,within,0.0
68,3.0,gurzelen,within,0.0
69,6.0,mettSud,nearest,5.154
70,6.0,mettSud,within,0.0
71,6.0,mettSud,nearest,5.261
72,6.0,mettSud,within,0.0
73,18.0,mettNord,within,0.0
74,18.0,mettNord,within,0.0
75,19.0,boezingen,within,0.0
76,19.0,boezingen,within,0.0
77,19.0,boezingen,within,0.0
78,18.0,mettNord,within,0.0
79,4.0,boezingenNord,within,0.0
80,19.0,boezingen,within,0.0
81,18.0,mettNord,within,0.0
82,18.0,mettNord,within,0.0
83,19.0,boezingen,nearest,111.302
84,19.0,boezingen,nearest,35.835
85,19.0,boezingen,within,0.0
86,19.0,boezingen,within,0.0
87,4.0,boezingenNord,within,0.0
88,4.0,boezingenNord,within,0.0
89,4.0,boezingenNord,within,0.0
90,20.0,sportAnlagen,within,0.0
91,20.0,sportAnlagen,within,0.0
92,8.0,boezingenfeld,within,0.0
93,8.0,boezingenfeld,within,0.0
